iterate	7.569784658296413E-4
proteus	7.563916188062725E-4
ganglia	7.557443838306309E-4
headway	7.55642188834477E-4
buzzard	7.550212768123902E-4
plunger	7.548509518188003E-4
halting	7.548416613646045E-4
veranda	7.540380370766667E-4
cytosol	7.53990036396655E-4
hatches	7.533799632377966E-4
eyelets	7.528658914389616E-4
flatten	7.52749760761514E-4
mucosal	7.509443158294611E-4
lentils	7.509195412849389E-4
snicket	7.500725615440873E-4
auberge	7.496839108768958E-4
negroes	7.496560395143084E-4
paprika	7.49628168151721E-4
novella	7.488462215902401E-4
diggers	7.487780915928042E-4
glances	7.487626075024778E-4
tyrants	7.487440265940862E-4
creston	7.481896961604027E-4
ripples	7.479465959422789E-4
griddle	7.470345830220567E-4
nascent	7.470175505226976E-4
precept	7.467233528064969E-4
woodman	7.450371353699569E-4
gravely	7.450154576435E-4
errands	7.446918401556793E-4
savages	7.438433120057951E-4
craters	7.438154406432077E-4
mockery	7.433354338430906E-4
epitaph	7.422856125189638E-4
trypsin	7.420347702556769E-4
bursary	7.420332218466443E-4
bugaboo	7.416492164065507E-4
chowder	7.409137221160489E-4
freaked	7.40828559619254E-4
mascots	7.396022196654066E-4
comedic	7.393591194472829E-4
crumble	7.388481444665131E-4
spatula	7.383805249386573E-4
drifter	7.381436183566641E-4
stardom	7.376651599655797E-4
exotics	7.36890955449262E-4
immerse	7.364821754646463E-4
envious	7.363118504710563E-4
hirsute	7.358457793522331E-4
fooling	7.356460345870232E-4
vaulted	7.353115782359739E-4
ectopic	7.352186736940158E-4
coulomb	7.350468002913932E-4
gleaned	7.344707921312528E-4
flowery	7.344057589518822E-4
sunburn	7.341549166885952E-4
elector	7.337043296600983E-4
fielded	7.335154237581168E-4
dusting	7.33225871269014E-4
shrines	7.328016071940719E-4
bridged	7.327830262856802E-4
sitcoms	7.324330858443046E-4
ukulele	7.32351020165575E-4
bracken	7.322271474429641E-4
couches	7.32138888128104E-4
arduous	7.31395651792439E-4
slugger	7.311587452104457E-4
fulcrum	7.307019645458183E-4
gripped	7.306446734116108E-4
sprites	7.290761350615511E-4
dashing	7.289522623389402E-4
shipman	7.288949712047327E-4
carrick	7.285682568988467E-4
bellied	7.281904450948836E-4
decreed	7.278869569244871E-4
addenda	7.277243739760603E-4
keyhole	7.273372717179014E-4
shiatsu	7.270121058210481E-4
albergo	7.267380374222715E-4
porcine	7.266637137887051E-4
inshore	7.260613826750099E-4
reducer	7.259607360878886E-4
tremors	7.255411172400444E-4
apropos	7.254683420155105E-4
pitiful	7.253615017922587E-4
linings	7.249713027160346E-4
cortina	7.247204604527476E-4
arbiter	7.246074265933653E-4
buoyant	7.243891009197636E-4
airtime	7.243596811481436E-4
gryphon	7.24085612749367E-4
meister	7.232603107349725E-4
montero	7.23083792105252E-4
vitally	7.228824989310093E-4
chatted	7.225201712173727E-4
hurling	7.22391653267664E-4
brevity	7.22272425772151E-4
epitope	7.222522964547267E-4
prickly	7.221268753230832E-4
whittle	7.216298360236073E-4
elitist	7.209237615047255E-4
copycat	7.199358765419042E-4
denials	7.194744506501789E-4
projets	7.189867018048986E-4
anklets	7.181459157001776E-4
impasse	7.180777857027417E-4
piloted	7.180313334317626E-4
squeaky	7.173066780044893E-4
